Visual,FreqNet,ECAPA,CrossModal,Biometric,auc,margin,err_tau,acc_tau
0.0,0.0,0.9,0.05,0.05,0.9986483797140867,-0.8180912281349183,43,98.01110083256243
0.0,0.0,0.9,0.1,0.0,0.9986608179375767,-0.8071098076576233,43,98.01110083256243
0.0,0.0,0.95,0.0,0.05,0.9984535142127434,-0.9149345239746094,44,97.96484736355227
0.0,0.0,0.95,0.05,0.0,0.9984783906597233,-0.9035399602535248,44,97.96484736355227
0.0,0.0,1.0,0.0,0.0,0.9930636173670768,-0.9999996423721313,44,97.96484736355227
0.0,0.05,0.0,0.0,0.95,0.9998714716906033,-0.2836111576550484,14,99.35245143385754
0.0,0.05,0.0,0.05,0.9,0.9999087863610734,-0.23342360765504833,13,99.39870490286772
0.0,0.05,0.0,0.1,0.85,0.99992537065906,-0.1832360576550483,13,99.39870490286772
0.0,0.05,0.0,0.15,0.8,0.99993780888255,-0.16506463862886422,10,99.53746530989824
0.0,0.05,0.0,0.2,0.75,0.9999419549570466,-0.15713393862886427,9,99.58371877890842
0.0,0.05,0.0,0.25,0.7,0.9999543931805367,-0.14920323862886425,8,99.6299722479186
0.0,0.05,0.0,0.3,0.65,0.9999585392550333,-0.1412725386288643,8,99.6299722479186
0.0,0.05,0.0,0.35,0.6,0.9999668314040266,-0.13334183862886428,7,99.67622571692877
0.0,0.05,0.0,0.4,0.55,0.9999585392550333,-0.1712431920749694,7,99.67622571692877
0.0,0.05,0.0,0.45,0.5,0.9999585392550333,-0.22310614207496943,7,99.67622571692877
0.0,0.05,0.0,0.5,0.45,0.9999419549570466,-0.27496909207496945,8,99.6299722479186
0.0,0.05,0.0,0.55,0.4,0.9999336628080533,-0.3268320420749695,7,99.67622571692877
0.0,0.05,0.0,0.6,0.35,0.9999212245845633,-0.37869499207496937,7,99.67622571692877
0.0,0.05,0.0,0.65,0.3,0.99991293243557,-0.43055794207496945,7,99.67622571692877
0.0,0.05,0.0,0.7,0.25,0.9999046402865767,-0.4824208920749694,9,99.58371877890842
0.0,0.05,0.0,0.75,0.2,0.9998673256161067,-0.5342838420749694,9,99.58371877890842
0.0,0.05,0.0,0.8,0.15,0.9998465952436233,-0.5861467920749696,10,99.53746530989824
0.0,0.05,0.0,0.85,0.1,0.9998217187966434,-0.6380097420749695,10,99.53746530989824
0.0,0.05,0.0,0.9,0.05,0.99976367375369,-0.6898726920749694,10,99.53746530989824
0.0,0.05,0.0,0.95,0.0,0.9996600218912733,-0.7483164618396312,11,99.49121184088807
0.0,0.05,0.05,0.0,0.9,0.9999087863610734,-0.21711270765504836,13,99.39870490286772
0.0,0.05,0.05,0.05,0.85,0.9999295167335567,-0.16692515765504834,13,99.39870490286772
0.0,0.05,0.05,0.1,0.8,0.99995024710604,-0.11673760765504837,10,99.53746530989824
0.0,0.05,0.05,0.15,0.75,0.9999668314040266,-0.10360038862886428,9,99.58371877890842
0.0,0.05,0.05,0.2,0.7,0.9999709774785234,-0.09566968862886427,8,99.6299722479186
0.0,0.05,0.05,0.25,0.65,0.9999834157020133,-0.08773898862886426,7,99.67622571692877
0.0,0.05,0.05,0.3,0.6,0.9999834157020133,-0.07980828862886424,7,99.67622571692877
0.0,0.05,0.05,0.35,0.55,0.99997512355302,-0.07964839207496938,7,99.67622571692877
0.0,0.05,0.05,0.4,0.5,0.99997512355302,-0.1315113420749694,5,99.76873265494912
0.0,0.05,0.05,0.45,0.45,0.9999668314040266,-0.1833742920749694,4,99.81498612395929
0.0,0.05,0.05,0.5,0.4,0.9999585392550333,-0.23523724207496943,4,99.81498612395929
0.0,0.05,0.05,0.55,0.35,0.9999543931805367,-0.2871001920749695,7,99.67622571692877
0.0,0.05,0.05,0.6,0.3,0.9999419549570466,-0.33896314207496947,7,99.67622571692877
0.0,0.05,0.05,0.65,0.25,0.9999212245845633,-0.3908260920749695,7,99.67622571692877
0.0,0.05,0.05,0.7,0.2,0.9999087863610734,-0.44268904207496934,9,99.58371877890842
0.0,0.05,0.05,0.75,0.15,0.9998839099140934,-0.49455199207496936,9,99.58371877890842
0.0,0.05,0.05,0.8,0.1,0.9998590334671134,-0.5464149420749695,10,99.53746530989824
0.0,0.05,0.05,0.85,0.05,0.9998424491691267,-0.5982778920749694,10,99.53746530989824
0.0,0.05,0.05,0.9,0.0,0.9998051344986567,-0.6588199305896313,10,99.53746530989824
0.0,0.05,0.1,0.0,0.85,0.9999419549570466,-0.15061425765504838,13,99.39870490286772
0.0,0.05,0.1,0.05,0.8,0.9999585392550333,-0.10042670765504835,10,99.53746530989824
0.0,0.05,0.1,0.1,0.75,0.9999792696275167,-0.05023915765504833,9,99.58371877890842
0.0,0.05,0.1,0.15,0.7,0.9999792696275167,-0.04213613862886423,8,99.6299722479186
0.0,0.05,0.1,0.2,0.65,0.9999958539255034,-0.03420543862886427,7,99.67622571692877
0.0,0.05,0.1,0.25,0.6,0.9999958539255034,-0.026274738628864258,7,99.67622571692877
0.0,0.05,0.1,0.3,0.55,0.9999958539255034,-0.018344038628864245,5,99.76873265494912
0.0,0.05,0.1,0.35,0.5,0.99998756177651,-0.03991654207496936,5,99.76873265494912
0.0,0.05,0.1,0.4,0.45,0.9999834157020133,-0.09177949207496944,3,99.86123959296947
0.0,0.05,0.1,0.45,0.4,0.9999834157020133,-0.1436424420749694,4,99.81498612395929
0.0,0.05,0.1,0.5,0.35,0.9999709774785234,-0.19550539207496942,4,99.81498612395929
0.0,0.05,0.1,0.55,0.3,0.99996268532953,-0.2473683420749695,7,99.67622571692877
0.0,0.05,0.1,0.6,0.25,0.99995024710604,-0.29923129207496946,7,99.67622571692877
0.0,0.05,0.1,0.65,0.2,0.9999419549570466,-0.3510942420749694,7,99.67622571692877
0.0,0.05,0.1,0.7,0.15,0.9999295167335567,-0.4029571920749694,8,99.6299722479186
0.0,0.05,0.1,0.75,0.1,0.9998922020630867,-0.45482014207496946,9,99.58371877890842
0.0,0.05,0.1,0.8,0.05,0.9998714716906033,-0.5066830920749694,10,99.53746530989824
0.0,0.05,0.1,0.85,0.0,0.99985074131812,-0.5693233993396313,10,99.53746530989824
0.0,0.05,0.15,0.0,0.8,0.9999668314040266,-0.08411580765504834,10,99.53746530989824
